,Unnamed: 0,HF,NB,TI,V,Eig_1,Eig_2,Eig_3,Negative Eigenvalues,proj0,proj1
761,761,0.1,0.05,0.05,0.8,-117976.01826465885,89241.15725961147,152099.109879298,1,-0.5663382970747004,0.49422761281268823
777,777,0.1,0.1,0.05,0.75,-109784.15908472115,41388.547502071844,139276.03818029814,1,-0.4955343427091445,0.4236103341466261
897,897,0.15,0.05,0.05,0.75,-107789.58893034954,83152.81111586951,147490.66941344205,1,-0.5662449592249535,0.42351699629687917
762,762,0.1,0.05,0.1,0.75,-106688.94063388648,73559.33632267354,106269.22225203086,1,-0.49562768055889134,0.4943209506624351
458,458,0.1,0.2,0.0,0.7,-103727.14699348672,19031.562667919512,62358750523297.84,1,-0.42463705049384165,0.28228243896475486
792,792,0.1,0.15,0.05,0.7,-101593.2152566323,24733.77431037243,135592.05429802346,1,-0.42473038834358856,0.35299305548056387
912,912,0.15,0.1,0.05,0.7,-101268.77448332604,37424.714528789526,132656.95802416393,1,-0.49544100485939757,0.35289971763081696
608,608,0.05,0.05,0.05,0.85,-101079.04460549884,103400.562200851,160101.1815322685,1,-0.5664316349244473,0.5649382293284972
778,778,0.1,0.1,0.1,0.7,-99118.2776914431,40305.12654930707,78594.44335755543,1,-0.4248237261933354,0.4237036719963729
898,898,0.15,0.05,0.1,0.7,-97856.76875732426,64864.17400575468,104073.59855561913,1,-0.4955343427091444,0.423610334146626
763,763,0.1,0.05,0.15,0.7,-96177.47368672896,59286.605624114134,100577.59171619333,1,-0.4249170640430823,0.49441428851218194
459,459,0.1,0.25,0.0,0.65,-96047.08923702614,14566.133317859043,62358743860862.7,1,-0.3538330961282858,0.21166516029869276
926,926,0.15,0.15,0.05,0.65,-94497.81949398565,20945.293896623265,128677.57069196124,1,-0.4246370504938417,0.2822824389647549
806,806,0.1,0.2,0.05,0.65,-93897.02309253019,16759.558542226412,132896.0302110328,1,-0.35392643397803264,0.28237577681450177
1017,1017,0.2,0.05,0.05,0.7,-92335.95113180297,78619.11162614336,143442.1923806444,1,-0.5661516213752066,0.3528063797810701
913,913,0.15,0.1,0.1,0.65,-91870.27016502191,36170.65649819612,71882.25201405812,1,-0.42473038834358856,0.3529930554805639
793,793,0.1,0.15,0.1,0.65,-91628.62707460292,23063.85600509529,75340.87811189194,1,-0.35401977182777955,0.35308639333031083
625,625,0.05,0.1,0.05,0.8,-91219.80870935929,50506.7513578042,152222.20602870634,1,-0.4956276805588914,0.49432095066243514
609,609,0.05,0.05,0.1,0.8,-89515.27149075936,94577.07496382308,108697.62216199232,1,-0.49572101840863825,0.5650315671782441
779,779,0.1,0.1,0.15,0.65,-89315.29014471754,39266.87793317286,59519.438206869396,1,-0.3541131096775264,0.4237970098461198
899,899,0.15,0.05,0.15,0.65,-88498.37476984086,50380.37949060857,98214.97945060547,1,-0.42482372619333547,0.42370367199637293
939,939,0.15,0.2,0.05,0.6,-88096.05408477144,12837.518739208244,125892.33505366283,1,-0.3538330961282858,0.2116651602986927
